img;hash:-1244050918;xhash:1445561940;fname:DSC00680.JPG;x:422.186;y:1384.804;tx:902.023;ty:870.866;
img;hash:916251149;xhash:554894023;fname:IMG_20170916_170010.jpg;simile:img_20170910_182109.jpg;x:905.317;y:838.864;tx:902.978;ty:845.867;
img;hash:-604597540;xhash:-1688497177;fname:DSC00389.JPG;x:930.428;y:850.277;tx:936.204;ty:858.714;
img;hash:-1990075603;xhash:50745549;fname:DSC09980.JPG;x:520.124;y:312.294;
img;hash:-414935906;xhash:-298263063;fname:DSC00761.JPG;x:945.563;y:813.936;tx:947.45;ty:825.171;
img;hash:-1648040826;xhash:-1861739436;fname:IMG_20171225_084448.jpg;x:918.529;y:838.488;
img;hash:1881101816;xhash:517870732;fname:DSC_2614.JPG;x:940.383;y:741.847;tx:947.344;ty:797.273;
img;hash:-2127133470;xhash:1105671215;fname:DSC09867.JPG;x:990.631;y:819.874;tx:991.266;ty:822.307;
img;hash:1748370311;xhash:224722010;fname:IMG_20170918_151256.jpg;x:858.786;y:824.332;tx:841.678;ty:828.477;
img;hash:-2041352685;xhash:-343337707;fname:DSC09964.JPG;x:516.498;y:528.395;
img;hash:1420151919;xhash:141426427;fname:DSC09883.JPG;x:919.735;y:836.373;tx:916.056;ty:829.993;
img;hash:-789972015;xhash:1765968894;fname:DSC01697.JPG;x:933.364;y:844.085;tx:935.692;ty:844.751;
img;hash:-2128773284;xhash:-774295779;fname:DSC00583.JPG;x:-308.921;y:-423.913;
img;hash:535425233;xhash:474378910;fname:DSC09786.JPG;x:929.212;y:854.979;tx:935.602;ty:849.157;
img;hash:1075706913;xhash:867278148;fname:DSC01224.JPG;simile:dsc09703.jpg;x:939.866;y:830.191;tx:924.171;ty:830.91;
img;hash:188866915;xhash:393120874;fname:DSC01127.JPG;x:992.339;y:816.697;tx:992.495;ty:823.378;
img;hash:103429215;xhash:213806061;fname:DSC00423.JPG;x:929.979;y:847.753;tx:930.417;ty:858.995;
img;hash:1526564250;xhash:-1770642410;fname:DSC00407.JPG;x:930.182;y:839.557;tx:924.716;ty:837.446;
img;hash:-303802419;xhash:-1110008147;fname:DSC01143.JPG;x:929.789;y:836.166;tx:935.027;ty:840.905;
img;hash:-495098079;xhash:-204192172;fname:DSC08753.JPG;x:609.653;y:363.691;tx:650.308;ty:402.314;
img;hash:339513845;xhash:1035212100;fname:DSC_2499.JPG;x:630.384;y:447.247;tx:883.296;ty:1324.743;
img;hash:-550728985;xhash:-840373099;fname:DSC08737.JPG;x:940.389;y:809.134;tx:946.11;ty:788.168;
img;hash:85880703;xhash:-190435795;fname:IMG_20171224_190533.jpg;x:933.662;y:844.719;tx:932.726;ty:845.871;
img;hash:796287253;xhash:-934070153;fname:DSC00110.JPG;x:512.93;y:527.964;tx:512.495;ty:528.89;
img;hash:857028101;xhash:-1382002113;fname:DSC00067.JPG;x:827.495;y:878.56;tx:707.137;ty:1314.37;
img;hash:56630972;xhash:2106538155;fname:DSC01618.JPG;x:911.907;y:847.825;tx:903.786;ty:853.662;
img;hash:1506667028;xhash:1959643848;fname:IMG_20180606_161725.jpg;simile:img_20180605_173211.jpg;x:933.132;y:843.319;tx:934.336;ty:848.296;
img;hash:-2096972327;xhash:-369658570;fname:DSC09948.JPG;x:510.467;y:530.676;tx:513.266;ty:527.548;
img;hash:-608759807;xhash:-228491708;fname:DSC00245.JPG;x:908.869;y:860.331;tx:946.072;ty:994.505;
img;hash:1991935233;xhash:1015885088;fname:DSC00520.JPG;x:572.389;y:336.631;tx:691.739;ty:447.862;
img;hash:-634483256;xhash:-1886269606;fname:IMG_20170708_191650.jpg;x:905.271;y:805.654;tx:896.43;ty:806.08;
img;hash:1204153100;xhash:701400128;fname:P1110525.JPG;x:914.147;y:833.352;tx:910.925;ty:804.357;
img;hash:1421872069;xhash:-1000746180;fname:DSC00986.JPG;x:899.618;y:810.205;tx:886.101;ty:812.536;
img;hash:28664201;xhash:28664201;fname:DSC01375.JPG;x:930.284;y:859.668;tx:923.208;ty:874.976;
img;hash:1121707142;xhash:1588443456;fname:IMG_20170709_195048.jpg;x:841.367;y:801.835;tx:518.215;ty:732.353;
img;hash:1276363672;xhash:31809630;fname:DSC01294.JPG;x:910.591;y:669.743;tx:863.302;ty:688.088;
img;hash:-131000330;xhash:759729183;fname:DSC00013.JPG;x:908.861;y:860.417;tx:927.799;ty:882.399;
img;hash:139704492;xhash:974521496;fname:DSC00092.JPG;x:905.068;y:800.009;tx:889.427;ty:808.248;
img;hash:-1798981620;xhash:-1366708272;fname:IMG_20180527_222009.jpg;x:929.893;y:848.553;tx:925.976;ty:837.781;
