img;hash:1770830282;xhash:2005638842;path:H:\pozemok Nova Bana\fotky\17 leto\IMG_20170708_192224.jpg;x:780.231;y:828.508;tx:750.56;ty:820.474;
img;hash:-320414544;xhash:418969334;path:h:\pozemok Nova Bana\detaily\DSC09699.JPG;x:944.364;y:847.703;tx:937.164;ty:847.757;
img;hash:1166661072;xhash:2100978718;path:H:\pozemok Nova Bana\detaily\DSC08533.JPG;x:883.336;y:826.877;tx:883.054;ty:831.209;
img;hash:-1950835743;xhash:-631517399;path:H:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20170630_084538.jpg;x:913.522;y:831.946;tx:901.367;ty:839.535;
img;hash:-456072053;xhash:2095625567;path:h:\pozemok Nova Bana\fotky\17 leto\IMG_20170915_163324.jpg;x:960.144;y:757.437;tx:993.681;ty:793.21;
img;hash:418617518;xhash:1981026395;path:h:\pozemok Nova Bana\detaily\DSC09741.JPG;x:900.146;y:841.62;tx:897.73;ty:840.211;
img;hash:1254627989;xhash:142883421;path:H:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20170918_180701.jpg;x:901.44;y:845.16;tx:899.386;ty:847.704;
img;hash:2136895292;xhash:1334513427;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC00572.JPG;x:-294.976;y:-186.031;
img;hash:-13512876;xhash:-505824666;path:H:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20170711_130038.jpg;x:894.826;y:853.115;tx:897.898;ty:845.616;
img;hash:1488615645;xhash:567817482;path:H:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20180520_183601.jpg;x:915.605;y:833.809;tx:902.132;ty:844.086;
img;hash:-570454644;xhash:1178179245;path:H:\pozemok Nova Bana\fotky\prerabka\kupelna\IMG_20180606_205926.jpg;x:932.77;y:843.065;tx:934.667;ty:848.084;
img;hash:-1601777423;xhash:512293431;path:h:\pozemok Nova Bana\detaily\05 Humno\P1110539.JPG;x:864.027;y:775.909;tx:885.815;ty:794.432;
img;hash:-578835192;xhash:465728810;path:H:\pozemok Nova Bana\fotky\prerabka\dvor\IMG_20171224_124233.jpg;x:904.375;y:805.868;tx:889.797;ty:829.906;
img;hash:1076138077;xhash:-584226804;path:H:\pozemok Nova Bana\fotky\prerabka\odvodnenie\DSC_0375.JPG;x:899.09;y:848.055;tx:896.908;ty:852.909;
img;hash:1016831201;xhash:2136365407;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC01202.JPG;x:917.226;y:846.76;tx:916.962;ty:840.428;
img;hash:-89118004;xhash:2068308751;path:H:\pozemok Nova Bana\fotky\prerabka\dvor\IMG_20170910_142227.jpg;x:916.845;y:838.051;tx:893.271;ty:815.069;
img;hash:-279752749;xhash:-920833751;path:H:\pozemok Nova Bana\fotky\prerabka\voda\IMG_20171004_221943.jpg;x:929.427;y:843.735;tx:930.341;ty:859.031;
img;hash:-202726548;xhash:-846781758;path:h:\pozemok Nova Bana\fotky\prerabka\dvor za humnom\DSC09931.JPG;x:936.823;y:788.844;tx:890.39;ty:793.547;
img;hash:-500866397;xhash:518476573;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC00731.JPG;x:546.162;y:642.541;tx:546.977;ty:634.296;
img;hash:1249159933;xhash:85629787;path:h:\pozemok Nova Bana\fotky\16 zima sk\DSC00472.JPG;x:991.962;y:817.976;tx:991.79;ty:808.345;
img;hash:1727891060;xhash:281366330;path:H:\pozemok Nova Bana\fotky\prerabka\kuchyna\DSC00478.JPG;x:929.91;y:847.661;tx:926.49;ty:837.348;
img;hash:-582898232;xhash:584753789;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC01519.JPG;x:847.182;y:833.051;tx:814.812;ty:850.136;
img;hash:2024609831;xhash:1587534715;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC00537.JPG;x:342.9;y:300.727;tx:291.977;ty:344.375;
img;hash:112858673;xhash:1840926130;path:H:\pozemok Nova Bana\detaily\DSC00084.JPG;x:513.271;y:524.831;tx:514.962;ty:527.552;
img;hash:26689819;xhash:-1306239889;path:h:\pozemok Nova Bana\fotky\prerabka\izba hore 2\DSC01604.JPG;x:912.16;y:848.639;tx:903.689;ty:854.287;
img;hash:-2139770649;xhash:-1718709301;path:H:\pozemok Nova Bana\fotky\prerabka\dvor za humnom\DSC_2527.JPG;x:895.604;y:740.243;tx:913.624;ty:730.792;
img;hash:-1192220574;xhash:-1058497646;path:h:\pozemok Nova Bana\fotky\17 leto\IMG_20170710_104251.jpg;x:908.741;y:860.434;tx:791.373;ty:1647.576;
img;hash:-354817461;xhash:-1097982496;path:H:\pozemok Nova Bana\fotky\prerabka\kupelna\IMG_20180105_234055.jpg;x:933.032;y:843.343;tx:934.525;ty:847.185;
img;hash:-1174209898;xhash:2030797382;path:h:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20170714_120605.jpg;x:902.796;y:827.275;tx:885.598;ty:810.129;
img;hash:-1973224709;xhash:1951272671;path:H:\pozemok Nova Bana\fotky\prerabka\internet\IMG_20170910_124705.jpg;x:877.973;y:853.051;tx:902.206;ty:853.402;
img;hash:-716433940;xhash:1031321213;path:H:\pozemok Nova Bana\fotky\17 leto\IMG_20170713_175016.jpg;x:943.478;y:829.389;tx:946.405;ty:860.728;
img;hash:1338789739;xhash:2022553479;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC00959.JPG;x:814.082;y:800.617;tx:819.186;ty:892.89;
img;hash:302256815;xhash:-484387516;path:H:\pozemok Nova Bana\fotky\DSC_2482.JPG;x:582.923;y:-244.822;tx:487.093;ty:22.28;
img;hash:727084002;xhash:-1297055089;path:H:\pozemok Nova Bana\fotky\prerabka\dvor domceky\DSC01552.JPG;x:890.129;y:849.934;tx:866.834;ty:848.267;
img;hash:-1625100394;xhash:-1528302744;path:H:\pozemok Nova Bana\fotky\prerabka\kupelna\IMG_20180106_131934.jpg;x:934.543;y:847.544;tx:934.383;ty:847.201;
img;hash:248487546;xhash:2116883710;path:H:\pozemok Nova Bana\fotky\prerabka\izba\DSC00475.JPG;x:931.291;y:856.787;tx:925.952;ty:851.388;
img;hash:102692521;xhash:-763503518;path:H:\pozemok Nova Bana\fotky\17 leto\IMG_20170920_014222.jpg;x:930.805;y:843.636;tx:932.041;ty:858.633;
img;hash:-1881841809;xhash:-1025700191;path:h:\pozemok Nova Bana\fotky\prerabka\dvor za humnom\IMG_20170709_162504.jpg;x:796.0;y:813.667;tx:881.916;ty:816.344;
img;hash:842568327;xhash:-1248438210;path:H:\pozemok Nova Bana\fotky\prerabka\kupelna\IMG_20180606_135211.jpg;x:933.176;y:843.352;tx:934.39;ty:848.253;
img;hash:1312247542;xhash:758013870;path:H:\pozemok Nova Bana\detaily\budovy zdnuka\P1110514.JPG;x:923.826;y:847.38;tx:936.251;ty:856.833;
img;hash:333996843;xhash:69239182;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC00816.JPG;x:-364.98;y:-170.353;
img;hash:188365822;xhash:234486521;path:h:\pozemok Nova Bana\fotky\16 zima sk\DSC01124.JPG;x:941.69;y:805.86;tx:942.536;ty:765.86;
img;hash:797101892;xhash:1005778525;path:H:\pozemok Nova Bana\fotky\DSC00046.JPG;x:506.358;y:280.19;tx:589.517;ty:412.321;
img;hash:-551387158;xhash:1288487685;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC00718.JPG;x:444.919;y:1043.802;tx:893.092;ty:854.628;
img;hash:390641538;xhash:1044258075;path:H:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20171002_163948.jpg;x:901.049;y:845.248;tx:898.984;ty:848.103;
img;hash:2109324663;xhash:-972249398;path:H:\pozemok Nova Bana\detaily\DSC09913.JPG;x:922.124;y:855.513;tx:921.242;ty:858.932;
img;hash:-2040723822;xhash:524099098;path:H:\pozemok Nova Bana\detaily\DSC09965.JPG;x:516.432;y:528.408;
img;hash:-614999144;xhash:360462101;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC01052.JPG;x:701.39;y:567.427;tx:682.576;ty:608.301;
img;hash:365466905;xhash:-1546092005;path:H:\pozemok Nova Bana\detaily\DSC09728.JPG;x:908.029;y:815.897;tx:910.286;ty:815.897;
img;hash:1256909368;xhash:-661587571;path:h:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20170712_120913.jpg;x:903.466;y:842.41;tx:901.518;ty:846.116;
img;hash:309768866;xhash:-1259666463;path:h:\pozemok Nova Bana\fotky\17 leto\IMG_20170708_175045.jpg;x:847.39;y:787.16;tx:842.907;ty:870.551;
img;hash:2134966165;xhash:5273083;path:H:\pozemok Nova Bana\detaily\DSC09922.JPG;x:931.331;y:849.45;tx:931.568;ty:849.003;
img;hash:-1988822621;xhash:629922450;path:H:\pozemok Nova Bana\fotky\prerabka\dvor domceky\IMG_20170911_172822.jpg;x:899.41;y:870.672;tx:892.359;ty:844.543;
img;hash:-1352786044;xhash:1063371080;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC00646.JPG;x:-354.921;y:-208.744;tx:750.872;ty:777.777;
img;hash:1470166907;xhash:-911256115;path:H:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20180520_171312.jpg;x:913.739;y:834.652;tx:912.793;ty:839.459;
img;hash:1071656767;xhash:203523444;path:h:\pozemok Nova Bana\fotky\16 zima sk\DSC01222.JPG;x:919.799;y:831.467;tx:935.965;ty:830.691;
img;hash:-1611755727;xhash:356982060;path:H:\pozemok Nova Bana\fotky\17 leto\IMG_20170705_161921.jpg;x:891.783;y:848.12;tx:886.991;ty:845.272;
img;hash:1295048147;xhash:956073059;path:H:\pozemok Nova Bana\fotky\17 leto\IMG_20170930_135627.jpg;x:910.196;y:816.812;tx:910.451;ty:815.704;
img;hash:-350061628;xhash:250049487;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC00789.JPG;x:913.875;y:825.531;tx:909.775;ty:805.932;
img;hash:-170535619;xhash:1533369137;path:h:\pozemok Nova Bana\fotky\17 leto\IMG_20170911_090628.jpg;x:842.083;y:808.807;tx:861.173;ty:842.384;
img;hash:-1676149529;xhash:909806956;path:H:\pozemok Nova Bana\fotky\17 zima\IMG_20171225_084436.jpg;x:920.81;y:841.175;tx:917.983;ty:841.238;
img;hash:715090539;xhash:-726178585;path:h:\pozemok Nova Bana\fotky\DSC00018.JPG;x:986.63;y:803.185;tx:1002.281;ty:803.357;
img;hash:1773996357;xhash:624263220;path:H:\pozemok Nova Bana\fotky\prerabka\schodiste\DSC01154.JPG;x:920.874;y:853.196;tx:920.727;ty:854.299;
img;hash:1272982297;xhash:-2007312514;path:h:\pozemok Nova Bana\fotky\16 zima sk\DSC01293.JPG;x:935.904;y:722.557;tx:948.273;ty:787.848;
img;hash:1194805196;xhash:386495415;path:H:\pozemok Nova Bana\detaily\DSC08540.JPG;x:870.718;y:826.877;tx:873.354;ty:821.886;
img;hash:-367707416;xhash:563804798;path:h:\pozemok Nova Bana\detaily\DSCF0373.JPG;x:896.38;y:821.543;tx:914.104;ty:845.579;
img;hash:-672590057;xhash:559883832;path:H:\pozemok Nova Bana\fotky\prerabka\izba\DSC00360.JPG;x:930.038;y:851.719;tx:935.882;ty:849.529;
img;hash:139704492;xhash:974521496;path:h:\pozemok Nova Bana\detaily\DSC00092.JPG;x:905.068;y:800.009;tx:889.427;ty:808.248;
img;hash:-444496514;xhash:1622294976;path:h:\pozemok Nova Bana\fotky\16 zima sk\DSC00750.JPG;x:943.91;y:840.494;tx:937.612;ty:801.011;
img;hash:-633488577;xhash:-1579006117;path:H:\pozemok Nova Bana\fotky\prerabka\izba\DSC00379.JPG;x:930.015;y:856.344;tx:924.332;ty:852.108;
img;hash:-1184438173;xhash:-293805801;path:H:\pozemok Nova Bana\fotky\DSC09987.JPG;x:618.153;y:436.501;tx:866.282;ty:809.78;
img;hash:-2073205400;xhash:72583555;path:h:\pozemok Nova Bana\fotky\prerabka\odvodnenie\IMG_20170707_113148.jpg;x:899.901;y:803.779;tx:891.801;ty:796.377;
img;hash:1216838029;xhash:-1208619008;path:H:\pozemok Nova Bana\fotky\DSC_2590.JPG;x:552.159;y:351.389;tx:518.645;ty:294.268;
img;hash:798764694;xhash:-1809869784;path:H:\pozemok Nova Bana\detaily\DSC00113.JPG;x:513.971;y:529.14;tx:512.467;ty:527.773;
img;hash:-7237987;xhash:-864330729;path:H:\pozemok Nova Bana\fotky\17 leto\IMG_20170628_105042.jpg;x:887.597;y:803.237;tx:892.348;ty:805.745;
img;hash:-355673122;xhash:-1345688443;path:H:\pozemok Nova Bana\fotky\16 zima sk\DSC01597.JPG;x:838.336;y:826.699;tx:835.504;ty:813.798;
img;hash:1811561192;xhash:15788446;path:H:\pozemok Nova Bana\fotky\17 leto\IMG_20170914_104637.jpg;x:715.851;y:590.212;tx:800.161;ty:749.566;
img;hash:1263680074;xhash:1212825751;path:H:\pozemok Nova Bana\detaily\budovy zvonka\P1110545.JPG;x:947.387;y:867.333;tx:939.917;ty:854.864;
img;hash:1650598778;xhash:-745244662;path:H:\pozemok Nova Bana\fotky\17 leto\IMG_20170627_192709.jpg;x:937.954;y:892.617;tx:910.298;ty:907.163;
img;hash:466172626;xhash:-1602902420;path:h:\pozemok Nova Bana\fotky\17 leto\IMG_20170930_134737.jpg;x:918.442;y:823.57;tx:914.617;ty:823.633;
